metric,threshold_m,n_paths,n_points,beam_enabled_paths,beam_enabled_points,wifi_mae_m,always_beam_mae_m,gated_mae_m,gated_minus_wifi_m,gated_minus_beam_m
mean,5.0,2,13,2,13,11.906021680387285,9.856809503499278,9.856809503499278,-2.0492121768880076,0.0
mean,6.0,2,13,2,13,11.906021680387285,9.856809503499278,9.856809503499278,-2.0492121768880076,0.0
mean,8.0,2,13,2,13,11.906021680387285,9.856809503499278,9.856809503499278,-2.0492121768880076,0.0
mean,1.0,2,13,1,5,11.906021680387285,9.856809503499278,11.637984863004446,-0.26803681738283996,1.7811753595051676
mean,1.5,2,13,1,5,11.906021680387285,9.856809503499278,11.637984863004446,-0.26803681738283996,1.7811753595051676
mean,2.0,2,13,1,5,11.906021680387285,9.856809503499278,11.637984863004446,-0.26803681738283996,1.7811753595051676
mean,3.0,2,13,1,5,11.906021680387285,9.856809503499278,11.637984863004446,-0.26803681738283996,1.7811753595051676
mean,4.0,2,13,1,5,11.906021680387285,9.856809503499278,11.637984863004446,-0.26803681738283996,1.7811753595051676
mean,0.5,2,13,0,0,11.906021680387285,9.856809503499278,11.906021680387285,0.0,2.0492121768880076
