site_id,grid_name,n_holdout_paths,n_holdout_points,wifi_mae_m,snapped_pred_mae_m,snap_damage_m,pred_to_grid_mae_m,gt_to_grid_oracle_mae_m
5da138364db8ce0c98bc00f1,raw_all,1,4,2.8881465528139074,4.233483219852986,1.3453366670390787,6.226407786337121,4.233483219852986
5da138364db8ce0c98bc00f1,raw_unique,1,4,2.8881465528139074,4.233483219852986,1.3453366670390787,6.226407786337121,4.233483219852986
5da138364db8ce0c98bc00f1,round_0.1_unique,1,4,2.8881465528139074,4.213767987149922,1.3256214343360142,6.199984621860147,4.213767987149922
5da138364db8ce0c98bc00f1,round_0.5_unique,1,4,2.8881465528139074,4.170766190871949,1.2826196380580415,6.1831526047516085,4.170766190871949
5da138364db8ce0c98bc00f1,round_1.0_unique,1,4,2.8881465528139074,4.544520846350789,1.6563742935368815,6.444231755142733,4.544520846350789
5d27099f03f801723c32511d,raw_all,1,2,3.170002420178557,1.6667418686699054,-1.5032605515086517,1.5174835756695915,0.0
5d27099f03f801723c32511d,raw_unique,1,2,3.170002420178557,1.6667418686699054,-1.5032605515086517,1.5174835756695915,0.0
5d27099f03f801723c32511d,round_0.1_unique,1,2,3.170002420178557,1.6916619180506485,-1.4783405021279086,1.4912351516802864,0.034935335853258136
5d27099f03f801723c32511d,round_0.5_unique,1,2,3.170002420178557,1.6380299363262711,-1.531972483852286,1.6348505521872752,0.12471605080472906
5d27099f03f801723c32511d,round_1.0_unique,1,2,3.170002420178557,1.7897969688870843,-1.3802054512914728,1.3886687819185068,0.4404793237171131
5da138754db8ce0c98bca82f,raw_all,1,19,14.736772063662888,13.92455924650087,-0.8122128171620187,4.901320730293462,0.48179726740272216
5da138754db8ce0c98bca82f,raw_unique,1,19,14.736772063662888,13.92455924650087,-0.8122128171620187,4.901320730293462,0.48179726740272216
5da138754db8ce0c98bca82f,round_0.1_unique,1,19,14.736772063662888,13.91573949211033,-0.8210325715525588,4.8980438888318645,0.5237365166098071
5da138754db8ce0c98bca82f,round_0.5_unique,1,19,14.736772063662888,13.61550295314082,-1.1212691105220678,4.963497215090113,0.6922677616764755
5da138754db8ce0c98bca82f,round_1.0_unique,1,19,14.736772063662888,14.047599590306854,-0.6891724733560345,4.965142064523289,0.7278930843340037
5da138274db8ce0c98bbd3d2,raw_all,1,3,11.07828530601657,12.442746810621989,1.3644615046054192,3.9061907765524917,0.46976403119012605
5da138274db8ce0c98bbd3d2,raw_unique,1,3,11.07828530601657,12.442746810621989,1.3644615046054192,3.9061907765524917,0.46976403119012605
5da138274db8ce0c98bbd3d2,round_0.1_unique,1,3,11.07828530601657,12.470176462684426,1.3918911566678567,3.9074279764533286,0.49624279993460113
5da138274db8ce0c98bbd3d2,round_0.5_unique,1,3,11.07828530601657,12.379188662185307,1.300903356168737,3.8392229055684584,0.6391397726682978
5da138274db8ce0c98bbd3d2,round_1.0_unique,1,3,11.07828530601657,12.530548180364603,1.4522628743480333,4.152260344417547,0.6015373105089703
5da1383b4db8ce0c98bc11ab,raw_all,1,12,11.136287263924734,13.559335090187448,2.4230478262627138,5.80006150896682,2.928041743734519
5da1383b4db8ce0c98bc11ab,raw_unique,1,12,11.136287263924734,13.559335090187448,2.4230478262627138,5.80006150896682,2.928041743734519
5da1383b4db8ce0c98bc11ab,round_0.1_unique,1,12,11.136287263924734,13.576725530281331,2.4404382663565976,5.811868920900142,2.9488704656904936
5da1383b4db8ce0c98bc11ab,round_0.5_unique,1,12,11.136287263924734,13.821316630480966,2.6850293665562326,5.767188322037193,3.0149135917506062
5da1383b4db8ce0c98bc11ab,round_1.0_unique,1,12,11.136287263924734,13.950865976926996,2.8145787130022626,5.737213416022729,3.1621099941582003
