policy,fold,heldout_key,n_groups,selected_mae,hit@3,hit@5,improvement_vs_rank1,gap_to_oracle,rerank_usage_rate,sum_excess_over_4m,rank1_good_rerank_bad_count
always_rank1,path_01,5dc65d451cda3700060305be,2,2.4806498421832126,0.5,1.0,0.0,2.448151678387718,0.0,0.9176765666419913,0
always_rank1,path_02,5dce63105516ad00065f0280,3,4.314037516837182,0.3333333333333333,0.6666666666666666,0.0,3.35595517811977,0.0,2.5213514171280753,0
always_rank1,path_03,5dce818894e4900006125129,3,16.36975476790118,0.0,0.0,0.0,16.344181603220996,0.0,37.10926430370354,0
always_rank1,path_04,5dd0e5dd878f3300066c7644,20,9.707006464870613,0.25,0.45,0.0,8.42689731822135,0.0,134.25357384329752,0
always_rank1,path_05,5dd374ae44333f00067aa196,31,9.214940847201952,0.03225806451612903,0.12903225806451613,0.0,9.027904892780654,0.0,165.68609097041363,0
always_rerank,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,1.0,0.0,0
always_rerank,path_02,5dce63105516ad00065f0280,3,7.5204354779112625,0.0,0.3333333333333333,-3.2063979610740807,6.56235313919385,1.0,10.743795675845082,1
always_rerank,path_03,5dce818894e4900006125129,3,4.415085502901817,0.6666666666666666,0.6666666666666666,11.954669264999364,4.389512338221631,1.0,7.236303128790359,0
always_rerank,path_04,5dd0e5dd878f3300066c7644,20,8.285187460330192,0.45,0.6,1.4218190045404207,7.005078313680929,1.0,121.94650040811523,1
always_rerank,path_05,5dd374ae44333f00067aa196,31,7.819170613176389,0.12903225806451613,0.3225806451612903,1.3957702340255622,7.632134658755091,1.0,134.9057827651418,0
score_margin_positive,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,0.5,0.0,0
score_margin_positive,path_02,5dce63105516ad00065f0280,3,7.5204354779112625,0.0,0.3333333333333333,-3.2063979610740807,6.56235313919385,1.0,10.743795675845082,1
score_margin_positive,path_03,5dce818894e4900006125129,3,4.415085502901817,0.6666666666666666,0.6666666666666666,11.954669264999364,4.389512338221631,1.0,7.236303128790359,0
score_margin_positive,path_04,5dd0e5dd878f3300066c7644,20,8.285187460330192,0.45,0.6,1.4218190045404207,7.005078313680929,0.7,121.94650040811523,1
score_margin_positive,path_05,5dd374ae44333f00067aa196,31,7.819170613176389,0.12903225806451613,0.3225806451612903,1.3957702340255622,7.632134658755091,0.7419354838709677,134.9057827651418,0
rank1_risk_ge_1,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,1.0,0.0,0
rank1_risk_ge_1,path_02,5dce63105516ad00065f0280,3,7.5204354779112625,0.0,0.3333333333333333,-3.2063979610740807,6.56235313919385,1.0,10.743795675845082,1
rank1_risk_ge_1,path_03,5dce818894e4900006125129,3,4.415085502901817,0.6666666666666666,0.6666666666666666,11.954669264999364,4.389512338221631,1.0,7.236303128790359,0
rank1_risk_ge_1,path_04,5dd0e5dd878f3300066c7644,20,8.285187460330192,0.45,0.6,1.4218190045404207,7.005078313680929,0.8,121.94650040811523,1
rank1_risk_ge_1,path_05,5dd374ae44333f00067aa196,31,7.819170613176389,0.12903225806451613,0.3225806451612903,1.3957702340255622,7.632134658755091,0.9354838709677419,134.9057827651418,0
rank1_risk_ge_2,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,1.0,0.0,0
rank1_risk_ge_2,path_02,5dce63105516ad00065f0280,3,7.5204354779112625,0.0,0.3333333333333333,-3.2063979610740807,6.56235313919385,1.0,10.743795675845082,1
rank1_risk_ge_2,path_03,5dce818894e4900006125129,3,4.415085502901817,0.6666666666666666,0.6666666666666666,11.954669264999364,4.389512338221631,1.0,7.236303128790359,0
rank1_risk_ge_2,path_04,5dd0e5dd878f3300066c7644,20,8.673291706655402,0.35,0.5,1.0337147582152113,7.393182560006139,0.6,121.81635049973357,1
rank1_risk_ge_2,path_05,5dd374ae44333f00067aa196,31,7.819170613176389,0.12903225806451613,0.3225806451612903,1.3957702340255622,7.632134658755091,0.8709677419354839,134.9057827651418,0
rank1_risk_ge_3,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,0.5,0.0,0
rank1_risk_ge_3,path_02,5dce63105516ad00065f0280,3,7.5204354779112625,0.0,0.3333333333333333,-3.2063979610740807,6.56235313919385,1.0,10.743795675845082,1
rank1_risk_ge_3,path_03,5dce818894e4900006125129,3,9.16689478551036,0.3333333333333333,0.3333333333333333,7.202859982390821,9.141321620830174,0.6666666666666666,17.53380112309779,0
rank1_risk_ge_3,path_04,5dd0e5dd878f3300066c7644,20,8.792078770162236,0.35,0.5,0.9149276947083766,7.511969623512973,0.5,124.19209176987025,1
rank1_risk_ge_3,path_05,5dd374ae44333f00067aa196,31,7.819170613176389,0.12903225806451613,0.3225806451612903,1.3957702340255622,7.632134658755091,0.8709677419354839,134.9057827651418,0
rank1_risk_ge_4,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,0.5,0.0,0
rank1_risk_ge_4,path_02,5dce63105516ad00065f0280,3,7.5204354779112625,0.0,0.3333333333333333,-3.2063979610740807,6.56235313919385,1.0,10.743795675845082,1
rank1_risk_ge_4,path_03,5dce818894e4900006125129,3,16.36975476790118,0.0,0.0,0.0,16.344181603220996,0.0,37.10926430370354,0
rank1_risk_ge_4,path_04,5dd0e5dd878f3300066c7644,20,8.623619230789522,0.4,0.55,1.0833872340810906,7.343510084140259,0.3,124.76822481461862,0
rank1_risk_ge_4,path_05,5dd374ae44333f00067aa196,31,7.768025389220084,0.12903225806451613,0.3225806451612903,1.4469154579818673,7.580989434798786,0.7096774193548387,133.32028082249636,0
rank1_risk_ge_5,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,0.5,0.0,0
rank1_risk_ge_5,path_02,5dce63105516ad00065f0280,3,6.754181888714844,0.0,0.6666666666666666,-2.440144371877662,5.7960995499974315,0.6666666666666666,8.445034908255828,1
rank1_risk_ge_5,path_03,5dce818894e4900006125129,3,16.36975476790118,0.0,0.0,0.0,16.344181603220996,0.0,37.10926430370354,0
rank1_risk_ge_5,path_04,5dd0e5dd878f3300066c7644,20,8.955067025251633,0.4,0.5,0.7519394396189796,7.67495787860237,0.25,131.0333601131035,0
rank1_risk_ge_5,path_05,5dd374ae44333f00067aa196,31,8.224267392684547,0.0967741935483871,0.25806451612903225,0.9906734545174043,8.03723143826325,0.5483870967741935,143.51318184688688,0
risk_ge_3_and_score_margin_positive,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,0.5,0.0,0
risk_ge_3_and_score_margin_positive,path_02,5dce63105516ad00065f0280,3,7.5204354779112625,0.0,0.3333333333333333,-3.2063979610740807,6.56235313919385,1.0,10.743795675845082,1
risk_ge_3_and_score_margin_positive,path_03,5dce818894e4900006125129,3,9.16689478551036,0.3333333333333333,0.3333333333333333,7.202859982390821,9.141321620830174,0.6666666666666666,17.53380112309779,0
risk_ge_3_and_score_margin_positive,path_04,5dd0e5dd878f3300066c7644,20,8.792078770162236,0.35,0.5,0.9149276947083766,7.511969623512973,0.45,124.19209176987025,1
risk_ge_3_and_score_margin_positive,path_05,5dd374ae44333f00067aa196,31,7.819170613176389,0.12903225806451613,0.3225806451612903,1.3957702340255622,7.632134658755091,0.7419354838709677,134.9057827651418,0
wifi_disagreement_and_score_margin_positive,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,0.5,0.0,0
wifi_disagreement_and_score_margin_positive,path_02,5dce63105516ad00065f0280,3,7.5204354779112625,0.0,0.3333333333333333,-3.2063979610740807,6.56235313919385,1.0,10.743795675845082,1
wifi_disagreement_and_score_margin_positive,path_03,5dce818894e4900006125129,3,16.36975476790118,0.0,0.0,0.0,16.344181603220996,0.0,37.10926430370354,0
wifi_disagreement_and_score_margin_positive,path_04,5dd0e5dd878f3300066c7644,20,8.623619230789522,0.4,0.55,1.0833872340810906,7.343510084140259,0.3,124.76822481461862,0
wifi_disagreement_and_score_margin_positive,path_05,5dd374ae44333f00067aa196,31,8.098223499531557,0.0967741935483871,0.2903225806451613,1.116717347670395,7.911187545110258,0.5806451612903226,139.60582115914423,0
risk_ge_3_rank_le_10_score_margin_positive,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,0.5,0.0,0
risk_ge_3_rank_le_10_score_margin_positive,path_02,5dce63105516ad00065f0280,3,4.233110701225027,0.3333333333333333,0.6666666666666666,0.08092681561215453,3.2750283625076153,0.6666666666666666,2.4610602124029066,0
risk_ge_3_rank_le_10_score_margin_positive,path_03,5dce818894e4900006125129,3,12.92559518654035,0.3333333333333333,0.3333333333333333,3.4441595813608306,12.900022021860165,0.3333333333333333,28.80990232618776,0
risk_ge_3_rank_le_10_score_margin_positive,path_04,5dd0e5dd878f3300066c7644,20,8.792078770162236,0.35,0.5,0.9149276947083766,7.511969623512973,0.45,124.19209176987025,1
risk_ge_3_rank_le_10_score_margin_positive,path_05,5dd374ae44333f00067aa196,31,7.996231056116111,0.12903225806451613,0.2903225806451613,1.2187097910858409,7.8091951016948125,0.7096774193548387,140.3946564962732,0
rank1_consensus_guard,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,1.0,0.0,0
rank1_consensus_guard,path_02,5dce63105516ad00065f0280,3,7.5204354779112625,0.0,0.3333333333333333,-3.2063979610740807,6.56235313919385,1.0,10.743795675845082,1
rank1_consensus_guard,path_03,5dce818894e4900006125129,3,12.92559518654035,0.3333333333333333,0.3333333333333333,3.4441595813608306,12.900022021860165,0.3333333333333333,28.80990232618776,0
rank1_consensus_guard,path_04,5dd0e5dd878f3300066c7644,20,8.81182611651992,0.4,0.55,0.8951803483506922,7.531716969870658,0.65,128.53236252922662,0
rank1_consensus_guard,path_05,5dd374ae44333f00067aa196,31,7.7139874708819125,0.12903225806451613,0.3225806451612903,1.5009533763200391,7.526951516460614,0.967741935483871,131.64510535401305,0
rerank_confidence_consensus,path_01,5dc65d451cda3700060305be,2,0.03249816379549445,1.0,1.0,2.448151678387718,0.0,0.5,0.0,0
rerank_confidence_consensus,path_02,5dce63105516ad00065f0280,3,7.5204354779112625,0.0,0.3333333333333333,-3.2063979610740807,6.56235313919385,1.0,10.743795675845082,1
rerank_confidence_consensus,path_03,5dce818894e4900006125129,3,9.16689478551036,0.3333333333333333,0.3333333333333333,7.202859982390821,9.141321620830174,0.6666666666666666,17.53380112309779,0
rerank_confidence_consensus,path_04,5dd0e5dd878f3300066c7644,20,8.792078770162236,0.35,0.5,0.9149276947083766,7.511969623512973,0.45,124.19209176987025,1
rerank_confidence_consensus,path_05,5dd374ae44333f00067aa196,31,7.819170613176389,0.12903225806451613,0.3225806451612903,1.3957702340255622,7.632134658755091,0.7419354838709677,134.9057827651418,0
